Sample_ID,Moisture (%),Time (day),Temperature (°C),pH,Risk_Level,Rule_Source,Data_Type
P0102,30.0,7,25.5,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0103,30.5,7,25.5,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0104,32.0,7,25.5,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0105,32.5,7,25.5,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0106,33.0,7,25.5,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0107,33.5,7,25.5,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0108,34.5,7,25.5,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0109,34.5,7,25.5,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0110,35.0,7,25.5,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0111,27.0,7,26.0,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0112,27.0,7,26.0,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0113,27.5,7,26.0,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0114,29.5,7,26.0,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0115,30.5,7,26.0,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0116,32.0,7,26.0,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0117,33.5,7,26.0,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0118,26.0,7,26.5,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0119,26.5,7,26.5,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0120,26.5,7,26.5,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0121,27.0,7,26.5,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0122,29.0,7,26.5,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0123,29.5,7,26.5,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0124,31.0,7,26.5,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0125,32.5,7,26.5,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0126,33.0,7,26.5,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0127,34.5,7,26.5,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0128,35.0,7,26.5,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0129,27.5,7,27.0,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0130,27.5,7,27.0,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0131,27.5,7,27.0,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0132,28.0,7,27.0,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0133,30.0,7,27.0,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0134,31.5,7,27.0,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0135,33.5,7,27.0,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0136,33.5,7,27.0,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0137,33.5,7,27.0,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0138,34.0,7,27.0,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0139,34.5,7,27.0,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0140,34.5,7,27.0,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0141,25.5,7,27.5,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0142,28.0,7,27.5,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0143,28.0,7,27.5,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0144,29.0,7,27.5,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0145,29.5,7,27.5,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0146,31.0,7,27.5,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0147,31.5,7,27.5,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0148,32.0,7,27.5,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0149,32.0,7,27.5,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0150,32.5,7,27.5,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0151,33.5,7,27.5,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0152,34.5,7,27.5,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0153,25.5,7,28.0,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0154,26.5,7,28.0,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0155,28.0,7,28.0,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0156,28.5,7,28.0,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0157,28.5,7,28.0,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0158,29.0,7,28.0,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0159,29.0,7,28.0,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0160,30.0,7,28.0,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0161,32.0,7,28.0,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0162,32.5,7,28.0,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0163,33.0,7,28.0,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0164,33.5,7,28.0,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0165,33.5,7,28.0,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0166,34.5,7,28.0,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0167,35.0,7,28.0,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0168,26.5,7,28.5,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0169,28.5,7,28.5,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0170,29.0,7,28.5,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0171,29.5,7,28.5,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0172,30.5,7,28.5,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0173,31.0,7,28.5,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0174,31.5,7,28.5,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0175,35.0,7,28.5,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0176,25.5,7,29.0,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0177,26.0,7,29.0,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0178,28.0,7,29.0,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0179,29.0,7,29.0,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0180,29.0,7,29.0,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0181,32.0,7,29.0,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0182,34.0,7,29.0,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0183,34.0,7,29.0,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0184,35.0,7,29.0,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0185,26.5,7,29.5,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0186,27.5,7,29.5,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0187,28.0,7,29.5,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0188,28.0,7,29.5,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0189,29.0,7,29.5,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0190,29.0,7,29.5,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0191,29.5,7,29.5,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0192,30.0,7,29.5,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0193,31.5,7,29.5,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0194,33.0,7,29.5,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0195,34.5,7,29.5,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0196,25.5,7,30.0,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0197,26.0,7,30.0,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0198,26.5,7,30.0,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0199,27.5,7,30.0,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0200,28.0,7,30.0,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0201,28.5,7,30.0,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0202,29.0,7,30.0,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0203,29.5,7,30.0,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0204,33.0,7,30.0,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0205,34.0,7,30.0,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0206,35.0,7,30.0,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0207,26.0,8,25.0,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
